i18n=>,TW,JP,US,CN,KR
enjoy_rebate,輸入收幣地址即可享受返佣,入金アドレスを入力していただきリベートを始める,,输入收币地址即可享受返佣,
member_login,會員登入,会員登録,,会员登入,
email,電子郵箱,メールアドレス,,电子邮箱,
password,密碼,パスワード,,密码,
captcha,圖形驗證碼,画像認証,,图形验证码,
please_enter_captcha,請輸入圖形驗證碼,画像に表示されている文字を入力してください,,请输入图形验证码,
forget_password,忘記密碼,パスワードをお忘れ,,忘记密码,
reset_password,請重設密碼,パスワード再設定してください,,请重设密码,
havent_created_account,還沒創建過帳戶,アカウントがまだ作成されていない,,还没创建过帐户,
login_fail,登入失敗,ログインに失敗しました,,登入失败,
unconfirmed_account,帳號未確認,アカウントは未確認,,帐号未确认,
certification_letter_resent,認證信已重新發送,確認メールを再発送しました,,认证信已重新发送,
re_send_certification_letter,重新寄發認證信,確認メールを再送します,,重新寄发认证信,
cancel,取消,キャンセル,,取消,
login_success,登入成功,ログインしました,,登入成功,
enter_correct_email,請輸入正確電子郵件,正しいメールアドレスを入力してください,,请输入正确电子邮件,
please_enter_captcha,請輸入圖形驗證碼,画像に表示されている文字を入力してください,,请输入图形验证码,
build_password,建立新的密碼,新しいパスワードを作成します,,建立新的密码,
enter_new_password,輸入新的密碼，完成後須以新密碼登入,新しいパスワードをご入力したら、新しいパスワードをログインしてください,,输入新的密码，完成后须以新密码登入,
enter_en_number,輸入6位數以上，含英數字,６文字以上半角英数字を入力してください,,输入6位数以上，含英数字,
check_again,再次確認,もう一度ご確認してください,,再次确认,
save_password,儲存密碼,パスワードを保存,,储存密码,
useless_pages,無效頁面，倒轉回到首頁,エラーが発生しました、ホームページに戻す,,无效页面，倒转回到首页,
setting_success,設定成功,設定が完了しました,,设定成功,
check_password_unanimous,確認密碼：密碼要與新密碼一致,確認のため、パスワードと新しいパスワードを一致してください,,确认密码：密码要与新密码一致,
other_relative_article,其他相關文章,他の関連記事,,其他相关文章,
no_relative_article,無相關文章,他の関連記事がありません,,无相关文章,
fdb_community,返多寶社群,FDBコミュニティサイト,,返多宝社群,
to_protect_account_security,為保護帳號安全，交易所綁定後將無法編輯或刪除（*未綁定將無法查看您的返佣資訊）,アカウントの安全のために取引所をバインディングされたら編集と削除ができません（*バインディングされていない状態リベートを調べられません）,,为保护帐号安全，交易所绑定后将无法编辑或删除（*未绑定将无法查看您的返佣资讯）,
select_exchange,選擇交易所,取引所を選ぶ,,选择交易所,
exchange_uid,交易所UID,取引所UID,,交易所UID,
enter_exchange_uid,請輸入該交易所UID,取引所UIDを入力してください,,请输入该交易所UID,
mobile_phone,行動電話,携帯番号,,行动电话,
please_enter_phone,請輸入行動電話,携帯番号を入力してください,,请输入行动电话,
please_enter_email,請輸入該交易所會員郵件,取引所の会員メールアドレスを入力してください,,请输入该交易所会员邮件,
clear,清空,クリア,,清空,
bind,綁定,バインディング,,绑定,
exchange_verification_time,交易所驗證時間需1-3日工作天，無論驗證成功與否都將由系統寄出“驗證通知書”郵件通知會員,取引所の検証時間は１日から三日程度をかかりますので検証完了するかどうかに関わらず“検証のお知らせ”をシステムからメールにお送りします,,交易所验证时间需1-3日工作天，无论验证成功与否都将由系统寄出“验证通知书”邮件通知会员,
invalid_drawing,無效圖檔,図データが無効,,无效图档,
verifying,驗證中,検証中,,验证中,
verified,驗證完畢,検証完了,,验证完毕,
check_again_exchange_info,再次確認交易所綁定資訊,取引所をバインディングされた情報をもう一度確認してください,,再次确认交易所绑定资讯,
to_ensure_transaction_security,為保障各位交易安全，交易所若綁定三次都失敗，將會鎖定該交易所綁定之權限，因此請確定資料正確性,取引の安全を確保するため、3回バインディングに失敗した場合、取引所にバインディングされた権限がロックされますので正しい情報を確認してください,,为保障各位交易安全，交易所若绑定三次都失败，将会锁定该交易所绑定之权限，因此请确定资料正确性,
unfilled,未填寫,未記入,,未填写,
return,返回,戻る,,返回,
please_select_exchange,請選擇交易所,取引所を選ぶ,,请选择交易所,
please_enter_exchange_id,請輸入交易所ID,取引所のIDを入力してください,,请输入交易所ID,
m_phone_enter_number,行動電話：請輸入數字,携帯電話：数字を入力してください,,行动电话：请输入数字,
email_enter_correct,電子郵件：請輸入正確電子郵件,メールアドレス：正しいメールアドレスを入力してください,,电子邮件：请输入正确电子邮件,
personal_information,基本個人資料,基本個人情報,,基本个人资料,
only_fields_can_be_modified,為保障各位資訊安全，僅限欄位可以修改,情報安全を保証のため修正できる欄は限られています,,为保障各位资讯安全，仅限栏位可以修改,
change_personal_image,更改個人圖像,プロフィール写真を変更,,更改个人图像,
user_name,使用者名稱,コーザーネーム,,使用者名称,
user_email,使用者信箱,コーザーメールアドレス,,使用者信箱,
old_password,原密碼,元のパスワード,,原密码,
new_password,新密碼,新しいパスワード,,新密码,
edit_content,編輯內容,内容を編集,,编辑内容,
save,儲存,保存,,储存,
image_upload_fail,圖片上傳失敗,画像アップロードエラー,,图片上传失败,
personal_update_success,個人資料更新成功,個人情報の更新を完了しました,,个人资料更新成功,
old_password_verify,密碼：請輸入6位數以上英數字,パスワード : ６文字以上半角英数字を入力してください,,密码：请输入6位数以上英数字,
new_password_verify,新密碼：請輸入6位數以上英數字,新しいパスワード : ６文字以上半角英数字を入力してください,,新密码：请输入6位数以上英数字,
check_new_password,確認密碼：密碼要與新密碼一致,確認のため、パスワードと新しいパスワードを同じく入力したください,,确认密码：密码要与新密码一致,
edit_group,編輯組別,グループを編集する,,编辑组别,
belong_group,所在組別,所属グループ,,所在组别,
join_date,加入日期,参加日,,加入日期,
last_trade_date,最後交易日,最後の引取日,,最后交易日,
connect_info,聯絡資訊,連絡先,,联络资讯,
rebate_trade_value,返佣交易量,リベートを取引できる数量,,返佣交易量,
view_information,檢視資訊,情報を検視する,,检视资讯,
uncategorized,未分類,分別していない,,未分类,
empty_data,暫無數據,該当のデータがありません,,暂无数据,
edit_recommender_group,編輯推薦人組別,紹介者組を編集する,,编辑推荐人组别,
select_group,選擇組別,グループを選択する,,选择组别,
please_select_current_group,請選擇現有組別,あるグループを選択してください,,请选择现有组别,
build_group,建立新組別,新しいグループを作成します,,建立新组别,
enter_group_name,輸入新組別名稱,新しいグループネームを入力してください,,输入新组别名称,
select_color,選擇顏色,色を選ぶ,,选择颜色,
manage_recommender_group,管理推薦人組別,紹介者組を管理する,,管理推荐人组别,
please_enter_group_name,請輸入群組名稱,グループネームを入力してください,,请输入群组名称,
cancel_all,全部取消,全部取り消し,,全部取消,
save_all,全部儲存,全部保存,,全部储存,
bind_group_success,綁定群組成功,グループのバインディングが完了,,绑定群组成功,
save_success,保存成功,保存が完了,,保存成功,
change_address_takes_one_week,為保障用戶權益和出金安全，修正出金地址須透過email驗證，變動地址需待一周後再次進行,ユーザー権利と出金安全のため出金アドレスを修正する場合はメールを検証して、アドレス変更はまた一週間後に行ってください,,为保障用户权益和出金安全，修正出金地址须透过email验证，变动地址需待一周后再次进行,
coin_adress,請填入 {coin} 交易地址,{coin} 取引先のアドレスを入力してください,,请填入 {coin} 交易地址,
coin_adress2,請填入 {coinAdress2},{coinAdress2}を入力してください,,请填入 {coinAdress2},
edit_adress,編輯地址,アドレスを編集,,编辑地址,
save_and_verify,儲存並驗證,保存して検証する,,储存并验证,
goto_fdb_email_verify,請至返多寶會員郵箱驗證,FDB会員メールアドレスに戻って検証してください,,请至返多宝会员邮箱验证,
enter_verification_code_in_ten,請於10分鐘內輸入驗證碼，未如驗證將無法更新此次提交,10分内で検証コードを入力してください。入力しなければ提出ができません,,请于10分钟内输入验证码，未如验证将无法更新此次提交,
verification_code,驗證碼,検証コード,,验证码,
enter_verification_code,輸入驗證碼,検証コードを入力してください,,输入验证码,
check,確認,確認,,确认,
btc_verify,BTC : 數字1＆3 開頭，26至37位區間英文大小寫+數字組成,BTC:数字1または3から始まる、2６以上37以内で半角英大文字半角英小文字+数字の組み合わせ,,BTC : 数字1＆3 开头，26至37位区间英文大小写+数字组成,
xrp_verify,XRP : r開頭,XRP:rから始める,,XRP : r开头,
usdt_verify,USDT : 數字1＆3 & 0 開頭,USDT:数字1.3.0から始まる,,USDT : 数字1＆3 & 0 开头,
eth_verify,ETH : 數字0 開頭，42位英文大小寫+數字組成,ETH:数字0から始まる、42文字の半角英大文字半角英小文字+数字の組み合わせ,,ETH : 数字0 开头，42位英文大小写+数字组成,
bind_success,綁定成功,バインディング完了,,绑定成功,
friend_invitation_code,您的好友邀請碼,友達の招待コード,,您的好友邀请码,
return_amount_rebates,返回返佣數量總覽,リベート数の一覧へ戻る,,返回返佣数量总览,
exchange_management,交易所管理,取引所を管理する,,交易所管理,
withdrawal_address_management,出金地址管理,出金メールアドレスを管理する,,出金地址管理,
referrer_management,推薦人管理,紹介者を管理する,,推荐人管理,
edit_profile,編輯個人檔案,プロファイルを編集する,,编辑个人档案,
invite_code_copy,邀請碼複製成功,招待コードをコピーした,,邀请码複制成功,
invite_connect_copy,邀請連結複製成功,招待リングをコピーした,,邀请连结複制成功,
build_account,創建帳戶,ユーザーの作成,,创建帐户,
invite_code,邀請碼,招待コード,,邀请码,
enter_recommender_invite,輸入推薦人邀請碼,紹介者の招待コードを入力してください,,输入推荐人邀请码,
service_terms,服務,利用規約,,服务,
has_account,已經有帳號？,アカウントをお持ちの方？,,已经有帐号？,
mail_verification_notice,信箱驗證通知,メールアドレス検証のお知らせ,,信箱验证通知,
verification_email,提醒您：驗證電子郵件，開始返佣,リマインド：メールアドレスを検証してリベート開始,,提醒您：验证电子邮件，开始返佣,
please_enter_correct_email,電子郵件：請輸入正確電子郵件,メールアドレス：正しいメールアドレスを入力してください,,电子邮件：请输入正确电子邮件,
password_en_number,密碼：請輸入6位數以上英數字,パスワード : ６文字以上半角英数字を入力してください,,密码：请输入6位数以上英数字,
invite_code_validate,邀請碼：8位數，含英數字，不含特殊符號,招待コード：記号を含まない８文字以上半角英数字,,邀请码：8位数，含英数字，不含特殊符号,
privacy_conditions_need_checked,隱私條件需勾選，才可以點擊註冊,プライバシー条件を同意してから、申し込みをクリック,,隐私条件需勾选，才可以点击注册,
reset_password,重置您的密碼,パスワード再設定,,重置您的密码,
enter_email_to_set_password,請輸入註冊時電子郵件，進行密碼重置,登録したメールアドレスをご入力してパスワードの再設定を行います,,请输入注册时电子邮件，进行密码重置,
send_password_link,發送密碼重置連結,パスワード再設定のURLを発送します,,发送密码重置连结,
return_login_page,回到登入畫面,登録画面に戻る,,回到登入画面,
email_notify,電子郵箱通知,メールアドレスのお知らせ,,电子邮箱通知,
receiving_linked_letters,請去電子郵箱收取連結信件,メールアドレスにURLを受信してください,,请去电子邮箱收取连结信件,
member_withdraw_application,會員出金申請,会員出金の申請,,会员出金申请,
fill_withdrawal_account_information,填寫出金帳戶資訊,出金口座情報を入力してください,,填写出金帐户资讯,
no_tradable_currency,尚無可交易之幣種,取引可能な通貨はありません,,尚无可交易之币种,
go_to_withdrawal_application_address,請至出金申請地址進行設定,出金申請アドレスへ設定してください,,请至出金申请地址进行设定,
reconfirm_withdrawal_information_amount,再次確認出金資訊與金額,出金情報と金額再確認,,再次确认出金资讯与金额,
operation_success,操作成功,操作成功,,操作成功,
select_withdraw_coin_type,選擇出金幣別,出金通貨を選ぶ,,选择出金币别,
handling_fee,手續費,手数料,,手续费,
not_yet_selected,尚未選擇,未選択,,尚未选择,
withdraw_adress,出金地址,出金アドレス,,出金地址,
amount_can_be_withdrawn,可出金數量,出金可能数,,可出金数量,
min_withdraw,最低出金限制,最低出金制限,,最低出金限制,
please_enter_withdrawal_amount,請輸入出金金額,出金金額を入力してください,,请输入出金金额,
cancel_withdraw,取消出金,出金をキャンセル,,取消出金,
next_step,下一步,次へ,,下一步,
actual_quantity,實拿數量,実際数,,实拿数量,
submit_withdrawal_application,注意：親愛的會員您好，請再次確認您的交易地址是否正確，若無誤將進行出金申請提交,注意：会員様へ取引先のアドレスが正しいかどうかを再確認して、間違いがなければ出金申請を提出されます,,注意：亲爱的会员您好，请再次确认您的交易地址是否正确，若无误将进行出金申请提交,
previous,上一步,戻る,,上一步,
submit_application,提出申請,申請を提出,,提出申请,
expected_complete_withdrawal,預計48 小時內完成出金,４８時間内出金完了予定,,预计48 小时内完成出金,
if_any_problem,若有任何問題請聯繫返多寶客服中心,ご不明な点がございましたら、FDBカスタマーサービスセンターまでお問い合わせください,,若有任何问题请联繫返多宝客服中心,
back_to_list,回到列表,リストへ戻る,,回到列表,
application_again,再申請一筆,再申請,,再申请一笔,
withdraw_coin_type,出金幣別,出金通貨,,出金币别,
enter_withdraw_coin_type,請輸入出金幣別,ご出金通貨を入力してください,,请输入出金币别,
enter_withdraw_amount,請輸入出金數量,ご出金数を入力してください,,请输入出金数量,
exceeds_amount_withdrawn,超過可出金數量,ご出金できる数を超え,,超过可出金数量,
less_min_withdraw,低於 {selectedCoinName} 最低出金數量 {coinminiAmount},より下 {selectedCoinName} 最低出金数 {coinminiAmount},,低于 {selectedCoinName} 最低出金数量 {coinminiAmount},
application_success,申請成功,申請完了,,申请成功,
first_corporate,首家企業化的「返佣平台」及「論壇」 提供全方位返佣方案,実業家において第一社である「リベートシステム」、「フォーラム」をオールラウンドリベートプランを提供します,,首家企业化的「返佣平台」及「论坛」提供全方位返佣方案,
trade_rebate,「交易返佣、手續費返佣、推薦好友再返佣」,「取引リベート、手数料リベート、友達を招待したらまたリベート」,,「交易返佣、手续费返佣、推荐好友再返佣」,
rebate_process,返佣流程,リベートの流れ,,返佣流程,
application_fdb_member,申請返多寶會員,FDBの会員を申請する,,申请返多宝会员,
friends_invitation_code_commission,另外新增好友邀請碼可共同獲得反佣,友達の招待コードを追加、自分とお友達の両方ともリベートを貰える,,另外新增好友邀请码可共同获得反佣,
register_exchange_through_rebate_link,透過返多寶鏈結註冊交易所,FDBのリングを通して取引所を申し込み,,透过返多宝链结注册交易所,
exchange_uid_bind_member,將交易所UID與返多寶會員綁定,UID取引所とFDB会員をバインディングします,,将交易所UID与返多宝会员绑定,
receive_rebate,領取返佣,リベートを受け取る,,领取返佣,
view_commission_rebate_dashboard,檢視返佣儀表板，輸入錢包地址，申請出金,リベートダッシュボードを検視、口座を入力して出金を申し込み,,检视返佣仪表板，输入钱包地址，申请出金,
rebate_guarantee,返佣保證,リベート保証,,返佣保证,
no_trading_conditions_required,成為返多寶用戶，不需要任何交易條件，即有40%交易返佣。,FDBの会員になったら取引条件は必要ありません。すぐ40%の取引リベートを貰える。,,成为返多宝用户，不需要任何交易条件，即有40%交易返佣。,
enjoy_another_ten_recommendation,返多寶邀請計畫，好友交易返佣再享10%推薦推薦。,FDBの招待企画は友達の取引リベート更に10%還元,,返多宝邀请计画，好友交易返佣再享10%推荐推荐。,
apply_account,申請開戶,口座開設の申請,,申请开户,
rebate_subsidy_ratio,返多寶補貼比例,FDBの補助比率,,返多宝补贴比例,
refer_friends_rebate_ratio,推薦好友返佣比例,友達紹介のリベート比率,,推荐好友返佣比例,
official_agent_rebate_ratio,官方代理返佣比例,公式代理リベート比率,,官方代理返佣比例,
lever,槓桿,レバレッジ,,槓杆,
trading_pair,交易對,通貨,,交易对,
transaction_support,交易支持,取引を支える,,交易支持,
futures,期貨,先物取引,,期货,
average_transaction_volume,平均交易量,平均取引量,,平均交易量,
asset_strength,資產實力,資産実力,,资产实力,
number_billion,{number}億,{number}億,,{number}亿,
bybit_advantage,Bybit 優勢,Bybit優勢,,Bybit 优势,
fair_transparent,公平透明,公正透明,,公平透明,
mark_price_selects_real_time,標記價格選取 Coinbase、Bitstamp、Kraken（三大受美國證監會監管交易所）的實時成交價,標記価額コインベース、ビットスタンプ、クラーケンを選ぶ(米国証券取引委員会SEC),,标记价格选取 Coinbase、Bitstamp、Kraken（三大受美国证监会监管交易所）的实时成交价,
market_depth_no_one,市場深度中國第一,マーケットの深みは中国ナンバーワン,,市场深度中国第一,
according_latest_statistics,根據最新統計數據，Bybit的平均前三個檔位盤口深度已遠超中國市場平均深度水準,最新の統計によるとBybitは最初三ヶ月の平均ハンディキャップが中国マーケット平均レベルを超えました,,根据最新统计数据，Bybit的平均前三个档位盘口深度已远超中国市场平均深度水准,
flexible_leverage,彈性槓桿,弾力レバレッジ,,弹性槓杆,
which_long_term_investment,提供1至100倍槓桿，且為永續合約，可長線投資,1から100倍までのレバレッジを提供し、協力は永続的なので長期投資ができます,,提供1至100倍槓杆，且为永续合约，可长线投资,
top_allocation_fund_security_system,頂配的資金安全體系,最高のセキュリティエコシステム,,顶配的资金安全体系,
platform_builds_industry_advanced,平台自建業內最領先的分層確定性冷錢包體系,業界で最も先進的な階層化されたコールドウォレットシステム,,平台自建业内最领先的分层确定性冷钱包体系,
intelligent_ordering_system_support,智能下單系統支持,知能注文システムを支え,,智能下单系统支持,
set_profit_stop_loss_trailing,入場時直接設置止盈/止損及追踪止損，無需時刻盯盤,寄り付き前に利益確保/損切りと損切りの追跡を直接設置できるので板をじっと見なくでも安心,,入场时直接设置止盈/止损及追踪止损，无需时刻盯盘,
flexible_fund_allocation,資金調配靈活,資金移動をスムーズ,,资金调配灵活,
no_minimum_transaction_amount,無交易金額下限，即使資金不足也有機會投資,取引の最少額がありませんので、資金不足にも投資なチャンスがあります,,无交易金额下限，即使资金不足也有机会投资,
become_member_fdb,成為返多寶會員,FDBの会員になる,,成为返多宝会员,
return_fdb_subsidize,返多寶再補貼給您交易手續費,FDBがまた取引手数料を補助してくれます,,返多宝再补贴给您交易手续费,
only_thing_reduce_transaction_costs,為您降低交易成本的只有「返多寶」,お客様の取引コストを減らすのはFDBだけ,,为您降低交易成本的只有「返多宝」,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
